relation_semantique	forme_complete	GN1	GN2
r_lieu>origine	vin de Bordeaux	vin	Bordeaux
r_lieu>origine	café du Brésil	café	Brésil
r_lieu>origine	fromage de Normandie	fromage	Normandie
r_lieu>origine	huile d'olive de Provence	huile d'olive	Provence
r_lieu>origine	thé de Chine	thé	Chine
r_lieu>origine	épices des Indes	épices	Indes
r_lieu>origine	marbre de Carrare	marbre	Carrare
r_lieu>origine	soie de Lyon	soie	Lyon
r_lieu>origine	chocolat de Belgique	chocolat	Belgique
r_lieu>origine	parfum de Grasse	parfum	Grasse
r_lieu>origine	bière d'Allemagne	bière	Allemagne
r_lieu>origine	tapas d'Espagne	tapas	Espagne
r_lieu>origine	vodka de Russie	vodka	Russie
r_lieu>origine	safran du Maroc	safran	Maroc
r_lieu>origine	whisky d'Écosse	whisky	Écosse
r_lieu>origine	pâtes d'Italie	pâtes	Italie
r_lieu>origine	tulipes de Hollande	tulipes	Hollande
r_lieu>origine	coton d'Égypte	coton	Égypte
r_lieu>origine	jade de Birmanie	jade	Birmanie
r_lieu>origine	diamants d'Afrique	diamants	Afrique
r_lieu>origine	poivre de Madagascar	poivre	Madagascar
r_lieu>origine	miel de Savoie	miel	Savoie
r_lieu>origine	risotto de Milan	risotto	Milan
r_lieu>origine	vin de Toscane	vin	Toscane
r_lieu>origine	beurre de Bretagne	beurre	Bretagne
r_lieu>origine	porcelaine de Limoges	porcelaine	Limoges
r_lieu>origine	safran d'Iran	safran	Iran
r_lieu>origine	thé du Japon	thé	Japon
r_lieu>origine	café d’Éthiopie	café	Éthiopie
r_lieu>origine	agneau du Quercy	agneau	Quercy
r_lieu>origine	marbre du Vermont	marbre	Vermont
r_lieu>origine	tabac de Virginie	tabac	Virginie
r_lieu>origine	champagne de Reims	champagne	Reims
r_lieu>origine	saumon d'Islande	saumon	Islande
r_lieu>origine	granite du Portugal	granite	Portugal
r_lieu>origine	cuir de Cordoue	cuir	Cordoue
r_lieu>origine	muscade des Antilles	muscade	Antilles
